accepted,calls,feedback,gap,gate,gens,knowledge,objective,private,roles,run,search,seconds,seed,stop,train,usd
5,20,score_only,0.015462,holdout,40,off,quality,-0.01810588253540603,single_strong,01100-s1,islands,200.1,1,budget: max_calls (20 >= 20),-0.03356776093563846,0.052
8,20,score_only,-0.044838,holdout,40,off,quality,-0.0680955143978224,single_strong,01100-s2,islands,215.0,2,budget: max_calls (20 >= 20),-0.023257754926665337,0.0515
3,20,score_only,0.010402,holdout,40,off,quality,-0.035497711820285896,single_strong,01100-s3,islands,166.0,3,budget: max_calls (20 >= 20),-0.04590013368025056,0.0411
3,20,score_only,0.011069,holdout,40,off,quality,-0.03483224015189561,split_roles,01101-s1,islands,330.1,1,budget: max_calls (20 >= 20),-0.0459013743596466,0.0237
3,20,score_only,0.013088,holdout,40,off,quality,-0.02295161497090372,split_roles,01101-s2,islands,335.7,2,budget: max_calls (20 >= 20),-0.03603941231911903,0.0275
5,20,score_only,0.010151,holdout,40,off,quality,-0.03330303058910366,split_roles,01101-s3,islands,357.6,3,budget: max_calls (20 >= 20),-0.043454439432892386,0.03
1,20,score_only,0.011069,holdout,40,wiki_fs,quality,-0.03483224015189561,single_strong,01110-s1,islands,139.0,1,budget: max_calls (20 >= 20),-0.0459013743596466,0.0831
2,20,score_only,-0.024299,holdout,40,wiki_fs,quality,-0.06275161500599602,single_strong,01110-s2,islands,155.6,2,budget: max_calls (20 >= 20),-0.03845212657265036,0.0862
1,20,score_only,0.011069,holdout,40,wiki_fs,quality,-0.03483224015189561,single_strong,01110-s3,islands,139.9,3,budget: max_calls (20 >= 20),-0.0459013743596466,0.0825
1,20,score_only,0.011069,holdout,40,wiki_fs,quality,-0.03483224015189561,split_roles,01111-s1,islands,166.3,1,budget: max_calls (20 >= 20),-0.0459013743596466,0.0368
2,20,score_only,0.011069,holdout,40,wiki_fs,quality,-0.03483224015189561,split_roles,01111-s2,islands,189.1,2,budget: max_calls (20 >= 20),-0.0459013743596466,0.0391
2,20,score_only,0.011069,holdout,40,wiki_fs,quality,-0.03483224015189561,split_roles,01111-s3,islands,181.2,3,budget: max_calls (20 >= 20),-0.0459013743596466,0.0377
5,20,reflections,0.012356,public_only,7,off,quality,-0.01234147421763665,single_strong,10000-s1,greedy,99.5,1,budget: max_calls (20 >= 20),-0.024696980837164734,0.0298
3,20,reflections,0.010262,public_only,11,off,quality,-0.03516372415064341,single_strong,10000-s2,greedy,106.8,2,budget: max_calls (20 >= 20),-0.04542551749829925,0.0294
3,20,reflections,0.013444,public_only,12,off,quality,-0.02950090333448602,single_strong,10000-s3,greedy,120.0,3,budget: max_calls (20 >= 20),-0.04294461051069874,0.036
2,20,reflections,0.016439,public_only,8,off,quality,-0.01961666301282873,split_roles,10001-s1,greedy,506.3,1,budget: max_calls (20 >= 20),-0.03605597680073898,0.0464
2,20,reflections,0.011814,public_only,8,off,quality,-0.03311642481065842,split_roles,10001-s2,greedy,151.5,2,budget: max_calls (20 >= 20),-0.04493032129486475,0.0222
2,20,reflections,0.016587,public_only,18,off,quality,-0.024394049901575475,split_roles,10001-s3,greedy,316.3,3,budget: max_calls (20 >= 20),-0.040980848804671455,0.0252
1,20,reflections,0.011069,public_only,20,wiki_fs,quality,-0.03483224015189561,single_strong,10010-s1,greedy,136.9,1,budget: max_calls (20 >= 20),-0.0459013743596466,0.0868
1,20,reflections,0.011069,public_only,20,wiki_fs,quality,-0.03483224015189561,single_strong,10010-s2,greedy,130.8,2,budget: max_calls (20 >= 20),-0.0459013743596466,0.0844
1,20,reflections,0.011069,public_only,20,wiki_fs,quality,-0.03483224015189561,single_strong,10010-s3,greedy,135.7,3,budget: max_calls (20 >= 20),-0.0459013743596466,0.0835
1,20,reflections,0.011069,public_only,20,wiki_fs,quality,-0.03483224015189561,split_roles,10011-s1,greedy,160.3,1,budget: max_calls (20 >= 20),-0.0459013743596466,0.0362
1,20,reflections,0.011069,public_only,20,wiki_fs,quality,-0.03483224015189561,split_roles,10011-s2,greedy,196.2,2,budget: max_calls (20 >= 20),-0.0459013743596466,0.0388
1,20,reflections,0.011069,public_only,20,wiki_fs,quality,-0.03483224015189561,split_roles,10011-s3,greedy,192.2,3,budget: max_calls (20 >= 20),-0.0459013743596466,0.0393
2,20,reflections,0.009463,public_only,24,off,quality,-0.03594590885131739,single_strong,10100-s1,islands,103.1,1,budget: max_calls (20 >= 20),-0.04540865951500417,0.03
2,20,reflections,0.008912,public_only,12,off,quality,-0.03601520263189251,single_strong,10100-s2,islands,82.1,2,budget: max_calls (20 >= 20),-0.04492676438109226,0.019
2,20,reflections,-0.01019,public_only,28,off,quality,-0.05013140428194934,single_strong,10100-s3,islands,141.9,3,budget: max_calls (20 >= 20),-0.0399415581165219,0.0334
1,20,reflections,0.011069,public_only,40,off,quality,-0.03483224015189561,split_roles,10101-s1,islands,247.7,1,budget: max_calls (20 >= 20),-0.0459013743596466,0.0243
2,20,reflections,0.008797,public_only,24,off,quality,-0.03516312518505698,split_roles,10101-s2,islands,215.2,2,budget: max_calls (20 >= 20),-0.04396050890947894,0.02
2,20,reflections,0.014225,public_only,12,off,quality,-0.013372605888760993,split_roles,10101-s3,islands,129.2,3,budget: max_calls (20 >= 20),-0.027597364921036826,0.0151
1,20,reflections,0.011069,public_only,40,wiki_fs,quality,-0.03483224015189561,single_strong,10110-s1,islands,154.3,1,budget: max_calls (20 >= 20),-0.0459013743596466,0.0829
1,20,reflections,0.011069,public_only,40,wiki_fs,quality,-0.03483224015189561,single_strong,10110-s2,islands,166.1,2,budget: max_calls (20 >= 20),-0.0459013743596466,0.0851
1,20,reflections,0.011069,public_only,40,wiki_fs,quality,-0.03483224015189561,single_strong,10110-s3,islands,158.8,3,budget: max_calls (20 >= 20),-0.0459013743596466,0.0835
1,20,reflections,0.011069,public_only,40,wiki_fs,quality,-0.03483224015189561,split_roles,10111-s1,islands,381.2,1,budget: max_calls (20 >= 20),-0.0459013743596466,0.0381
